Room / Location / Component,Item Name,Comment,Price,OriginalFlag,Include
Bedroom,Electrical - Lighting - Wall Sconce,Replace missing or damaged wall sconce to match as close as possible to any existing ones.,0,0,Y
Kitchen,Electrical - Lighting - Wall Sconce,Replace missing or damaged wall sconce to match as close as possible to any existing ones.,0,0,Y
Exterior,Electrical - Outlet/ Switch Replace,Replace switch/outlet with similar color and style (Deco/Toggle),0,0,Y
Electrical,Electrical - Panel - Label/ ldentify Breakers,Label electrical panel with sharpie.,0,0,Y
Electrical,Electrical - Panel - Repair / Secure Loose Wires,Install an approved electrical bond wire for CSST gas line. [100 - 250 - 300],Varies,1,Y
Electrical,Electrical - Panel - Repair Burnt Wires,"Repair burnt wires in panel, cut back and strip wire to expose good copper when possible.",0,0,Y
Electrical,Electrical - Panel - Replace Circuit Breaker,Replace electrical panel breaker or make adjustments as needed to ensure a proper wire ampacity. Wire appears to be too small for the breaker.,0,1,Y
Electrical,Electrical - Panel - Replace Circuit Breaker,Replace breaker,0,0,Y
Electrical,Electrical - Panel - Replace Double Tap Breaker,Replace improper double tap with correct double pole breaker. Match breaker size and ( maker when possible ).,0,0,Y
Electrical,Electrical - Panel - Tighten/Secure to Wall,Secure electrical panel with new lag/Screws,0,0,Y
Electrical,Electrical - Panel - Upgrade/ Replace,Upgrade panel to code compliant panel. Will need a permit pulled for swap out.,0,0,Y
Bedroom,Electrical - Smoke & CO Detectors Replace Carbon Monoxide Detector,Replace missing carbon monoxide detectors,0,0,Y
Kitchen,Electrical - Smoke & CO Detectors Replace Carbon Monoxide Detector,Replace missing carbon monoxide detectors,0,0,Y
Plumbing,Electrical - Water Heater - Repair Electrical Supply/ Conduit,Repair water heater electrical supply/conduit.,0,0,Y
Interior,Electrical - Whole House Replace All Outlet/ Switch Cover Plates,Remove and replace all outlet and switch cover plates.,0,0,Y
Interior,Electrical - Whole House Replace Smoke Detectors,Replace whole house smoke detectors,0,0,Y
Attic,Electrical - Wiring - Repair/ Fix Improper Wiring in Attic,"Repair electrical splices, Open Junction Boxes, Exposed wires in attic. Add junction boxes and replace wires as needed.",0,0,Y
Electrical,Electrical - Wiring - Replace Aluminum Wiring,Replace aluminum wiring with proper copper wiring to bring up to code. rewire whole house will require permitting. drywall patching and painting as well in multiple areas.,0,0,Y
Exterior,Electrical Exterior - Replace Exterior Sconce,Replace broken or missing exterior sconce at front and/or side door to match existing style and color,0,0,Y
Plumbing,Electrical Exterior - Replace Mechanical Timer (Water Heater/Pool),Replace mechanical timer and conduit/ whip.,0,0,Y
Exterior,Electrical- Lighting - Replace Flush Mount Light,Replace flush mount light.,0,0,Y
Exterior,Electrical Outlet/ Switch Replace GFCI Outlet,remove and replace GFCI outlet,0,0,Y
Bedroom,Electrical Outlet/ Switch Replace GFCI Outlet,remove and replace GFCI outlet,0,0,Y
Kitchen,Electrical Outlet/ Switch Replace GFCI Outlet,remove and replace GFCI outlet,0,0,Y
Attic,Electrical- Outlet/Switch Replace,Replace switch/outlet with similar color and style (Deco/Toggle).,0,0,Y
Electrical,Electrical- Panel - Federal Panel Upgrade,Upgrade federal panel with new panel sized to fit the current needs of power. will require an over the counter permit and must be done by licensed electrician.,0,0,Y
Electrical,Electrical Panel or Box - Install Knockouts,Replace knock outs in electrical box for missing circuits.,0,0,Y
Electrical,Electrical- Panel Repair / Secure Loose Wires,Repair loose wires at breakers. Make sure panel is safe and wires are tight.,0,1,Y
Exterior,Electrical- Power / Wiring Replace or Add Whip,Replace / Add Electrical whip to power supply or disconnect - ensure sure sealed and secure.,0,0,Y
Bedroom,Electrical- Smoke & CO Detectors Replace Smoke Detector,Remove and replace smoke detector,0,0,Y
Kitchen,Electrical- Smoke & CO Detectors Replace Smoke Detector,Remove and replace smoke detector,0,0,Y
Interior,Electrical Whole House Install GFCI,Install gfci through out whole house to meet code.,0,0,Y
Exterior,Exterior - Mailbox / Post - Straighten/ Secure,Straighten mailbox and secure post to ground.,0,0,Y
Exterior,Exterior Address Numbers - Replace,Remove and Replace Existing Address Numbers,0,0,Y
Exterior,Exterior- All Surfaces Pressure Wash,"Thorough, Professional Cleaning of Exterior Surfaces and All Flat Concrete Areas",0,0,Y
Exterior,Exterior Brick and Mortar - Repairs,Repair brick and mortar cracks and joints,0,0,Y
Exterior,Exterior Deco Drains Replace,Replace lifted or broken deco drains at walk ways that pose a tripping hazard. lift old out and install new to same width and color. make sure that the item is flush and secure,0,0,Y
Exterior,Exterior Mailbox / Post - Install or Replace,Install or Replace Mailbox and Post,0,0,Y
Fencing,Fencing - Perimeter - Replace Gate (lIron & Wood),install new wrought iron fence gate with wood slats stained and sealed.,0,0,Y
Fencing,Fencing- Handrail /Gate - Secure/ Adjust,Adjust gate to prevent binding when closing.,0,0,Y
Fencing,Fencing- Perimeter - Install new Fence Boards at Gate,Replace cedar boards in gate fence $16 LNFT   includes stain/seal.,0,0,Y
Fencing,Fencing Perimeter - Install New Wood Gate,Install new wood gate and hardware.,0,0,Y
Fencing,Fencing Perimeter - Repair / Replace Block Wall Cap,Re-attach fence cap to block wall with Power grab caulking to secure. replace if missing with like color.,0,0,Y
Fencing,Fencing Perimeter - Repair and Paint Rusted Iron,"Grind wire wheel, prime and paint rusted fence  $4.5 per SQFT",0,0,Y
Fencing,Fencing Perimeter Replace Damaged Wood Panel,"Replace broken, Damaged or missing wood fencing panels with like material and color.",0,0,Y
Exterior,Fireplace - Chimney - Cap Paint,Chimney - Scrape and Paint Chimney Cap and Spark Arrestor.,0,0,Y
Exterior,Fireplace - Seal Gas Line,Fireplace - Seal gas line penetration at fireplace - Caulk around the pipe in the firebox.,0,0,Y
Interior / Bedroom / Kitchen / Bath,Flooring - Carpet - Remove & Replace,Remove and replace carpet and pad $1.62 sqft. Added 15% for waste.,0,1,Y
Interior,Flooring - Carpet - Remove & Replace,remove and replace carpet and pad $1.62 sqft,0,0,Y
Interior,Flooring - Hardwood Refinish Hardwood Flooring,"Buff and coat hardwood flooring. Pricing inclusive of labor, materials and equipment.",0,0,Y
Interior,Flooring - Hardwood Refinish Hardwood Flooring,"Sand and refinish hardwood flooring. Pricing inclusive of labor, materials and equipment.",0,0,Y
Bedroom,Flooring - Tile - Install New (Color Scheme B - Grey Tones),Replace tile floor with new color scheme b grey tones  sqft,0,0,Y
Kitchen,Flooring - Tile - Install New (Color Scheme B - Grey Tones),Replace tile floor with new color scheme b grey tones  sqft,0,0,Y
Bedroom,Flooring - Tile Demo & Prep,Demo Tile Flooring to include scraping thin set and getting floor prep for new tile per Sqft,0,0,Y
Kitchen,Flooring - Tile Demo & Prep,Demo Tile Flooring to include scraping thin set and getting floor prep for new tile per Sqft,0,0,Y
Interior,Flooring - Vinyl Demo & Prep,Demo vinyl flooring to include scraping and patch back floor and prep for new install,0,0,Y
Interior,Flooring - Vinyl Install New,Empty,0,0,Y
Bedroom,Flooring - Wood - Install New (engineered wood),Install engineered wood flooring,0,0,Y
Kitchen,Flooring - Wood - Install New (engineered wood),Install engineered wood flooring,0,0,Y
Interior,Flooring Carpet - Demo & Prep (to be replaced with alternative flooring type),"Demo carpet, padding and tack strips. Prepare surface for the installation of an alternative flooring type.",0,0,Y
Bedroom,Flooring Carpet - Demo & Prep (to be replaced with alternative flooring type),"Demo carpet, padding and tack strips. Prepare surface for the installation of an alternative flooring type.",0,0,Y
Kitchen,Flooring Carpet - Demo & Prep (to be replaced with alternative flooring type),"Demo carpet, padding and tack strips. Prepare surface for the installation of an alternative flooring type.",0,0,Y
Interior / Bedroom / Kitchen ,Flooring Carpet Stretching & Repairs,Repair/Patch carpet to match existing - price per area,0,1,Y
Bedroom / Kitchen / Interior,Flooring Carpet Stretching & Repairs,Stretch carpet and re-tack to remove rolls and loose carpet in rooms,0,1,Y
Interior,Flooring Carpet Stretching & Repairs,Stretch carpet and re-tack to remove rolls and loose carpet in rooms,0,0,Y
Bedroom,Flooring General - Replace / Repair Transition Strip,Replace or re-attach loose or missing marble transition flooring strip,0,0,Y
Kitchen,Flooring General - Replace / Repair Transition Strip,Replace or re-attach loose or missing marble transition flooring strip,0,0,Y
Bedroom,Flooring General - Replace / Repair Transition Strip,Replace or re-attach loose or missing transition flooring strip,0,0,Y
Kitchen,Flooring General - Replace / Repair Transition Strip,Replace or re-attach loose or missing transition flooring strip,0,0,Y
Bedroom,Flooring Hardwood - Refinish Hardwood Flooring,"Buff and coat hardwood flooring. Pricing inclusive of labor, materials and equipment.",0,0,Y
Kitchen,Flooring Hardwood - Refinish Hardwood Flooring,"Buff and coat hardwood flooring. Pricing inclusive of labor, materials and equipment.",0,0,Y
Bedroom,Flooring Hardwood - Refinish Hardwood Flooring,"Sand and refinish hardwood flooring. Pricing inclusive of labor, materials and equipment.",0,0,Y
Kitchen,Flooring Hardwood - Refinish Hardwood Flooring,"Sand and refinish hardwood flooring. Pricing inclusive of labor, materials and equipment.",0,0,Y
Bedroom,Flooring- Tile - Install New (Color Scheme A - Earth Tones),Install new flooring to Scheme A colors (Earth Tones) Sqft,0,0,Y
Kitchen,Flooring- Tile - Install New (Color Scheme A - Earth Tones),Install new flooring to Scheme A colors (Earth Tones) Sqft,0,0,Y
Interior,Flooring Tile - Install New (Color Scheme A Earth Tones),Install new flooring to Scheme A colors (Earth Tones) Sqft,0,0,Y
Bedroom,Flooring Tile - Re-grout,"Re grout floor tile, includes grinding embedded loose grout $2.5 SQFT",0,0,Y
Kitchen,Flooring Tile - Re-grout,"Re grout floor tile, includes grinding embedded loose grout $2.5 SQFT",0,0,Y
Interior,Flooring Tile Demo & Prep,Demo Tile Flooring to include scraping thin set and getting floor prep for new tile per Sqft,0,0,Y
Interior,Flooring Tile Demo & Prep,Demo Tile Flooring to include scraping thin set and getting floor prep for new tile per Sqft,0,0,Y
Interior,Flooring- Tile Re-grout,"Re grout floor tile, includes grinding embedded loose grout $2.5 SQFT",0,0,Y
Bedroom,Flooring Tile Repair Cracks,Add matching grout to fill in cracks in tile. make sure that the tile crack is flush to the touch and no sharp edges.,0,0,Y
Kitchen,Flooring Tile Repair Cracks,Add matching grout to fill in cracks in tile. make sure that the tile crack is flush to the touch and no sharp edges.,0,0,Y
Bedroom,Flooring Tile Replace Individual Tiles,"Replace individual tiles through tile match. If unable to match, swap mismatched tile with one in less trafficked area (beneath appliance or in pantry)",0,0,Y
Kitchen,Flooring Tile Replace Individual Tiles,"Replace individual tiles through tile match. If unable to match, swap mismatched tile with one in less trafficked area (beneath appliance or in pantry)",0,0,Y
Bedroom,Flooring Vinyl - Demo & Prep,Demo vinyl flooring to include scraping and patch back floor and prep for new install,0,0,Y
Kitchen,Flooring Vinyl - Demo & Prep,Demo vinyl flooring to include scraping and patch back floor and prep for new install,0,0,Y
Bedroom,Flooring Vinyl - Install New,Empty,0,0,Y
Kitchen,Flooring Vinyl - Install New,Empty,0,0,Y
Bedroom,Flooring -Wood - Demo & Prep,Demo wood flooring (floating floor) and prep for new floor install,0,0,Y
Kitchen,Flooring -Wood - Demo & Prep,Demo wood flooring (floating floor) and prep for new floor install,0,0,Y
Bedroom,Flooring- Wood - Repair/ Stain Scratches,stain color match floor $25 each area (piece) quantify,0,0,Y
Kitchen,Flooring- Wood - Repair/ Stain Scratches,stain color match floor $25 each area (piece) quantify,0,0,Y
Interior,Flooring Wood Demo & Prep,Demo wood flooring (floating floor) and prep for new floor install,0,0,Y
Interior,Flooring Wood Install New (engineered wood),Install engineered wood flooring,0,0,Y
Interior,Flooring-Sheet Vinyl - Remove and replace,"Remove and replace sheet vinyl. Includes demo, prep and shoe molding.",0,0,Y
HVAC,GC - HVAC - AC Freon Lines - Replace Insulation,Replace damaged insulation lines on AC Freon lines. tape ends and make sure lines are covered fully.,0,0,Y
HVAC,GC - HVAC - Fuse Disconnect Box - Replace,Replace HVAC fuse disconnect box.,0,0,Y
Bedroom,GC - HVAC Register - Replace,HVAC - Replace Register,0,0,Y
Kitchen,GC - HVAC Register - Replace,HVAC - Replace Register,0,0,Y
HVAC,GC - HVAC Register Replace,HVAC - Replace Register,0,0,Y
Fencing,GC Fencing - Pool Install New Pool Barrier Fence,install new pool barrier fence $35LNFT,0,0,Y
Fencing,GC Fencing Pool - Install Self-Closing Mechanism on G,Install self closure on pool gate must meet CODE several options consult pool barrier company?,0,0,Y
Exterior,General - Adjustment for Proper Operation (whole home),Adjust all doors to make sure that they open and close properly.,0,0,Y
Gutters,Gutter Clean Out - Blow off Roof,Gutters - Clean out - Clean out gutters to include blowing off roof.,0,0,Y
Gutters,Gutter Seams,Gutters - Seal all gutter seams.,0,0,Y
Gutters,Gutters Demo Screens,Gutters - Demo screens/gutter guards.,0,0,Y
Exterior,Gutters Demo Screens,Gutters - Demo screens/gutter guards.,0,0,Y
Gutters,Gutters Secure,Gutters - Secure gutters to home and ensure they are sloped correctly.,0,0,Y
HVAC,HVAC - Condensing Unit - Comb Fins,Comb fins on condensing unit and make sure air flow is restored to system.,0,0,Y
HVAC,HVAC - Temperature Split - Balance System to Factory Standards,Temperature splits are outside of the normal 16-22 degree range. Evaluate and repair system to bring splits to an acceptable range. Amount is NTE to be verified with Supers and Vendors and not to be considered a full amount payable item.,0,0,Y
HVAC,HVAC Condensate Line - Replace,Replace damaged condensate line.,0,0,Y
Attic,HVAC Ducting - Route Duct to Exterior,Route exhaust vent duct to the exterior (no existing exterior penetration present). Includes ducting and siding/stucco alterations or roof alterations.,0,0,Y
HVAC,HVAC Ducting Route Duct to Exterior,Route exhaust vent duct to the exterior ( existing exterior penetration present ).,0,0,Y
HVAC,HVAC Ducting Route Duct to Exterior,Route exhaust vent duct to the exterior ( no existing exterior penetration present ). Includes ducting and siding/stucco alterations or roof alterations.,0,0,Y
HVAC,HVAC Gas Flue Add/ Replace Gas Flue Collar,HVAC Gas Flue pipe needs to have collar on top at ceiling. flue pipe needs to maintain 1 gap on all side of flue.,0,0,Y
Bedroom,HVAC Thermostat - Replace,Install new Honeywell T-6 thermostat,0,0,Y
Kitchen,HVAC Thermostat - Replace,Install new Honeywell T-6 thermostat,0,0,Y
HVAC,HVAC Thermostat Replace,Install new Honeywell T-6 thermostat.,0,0,Y
HVAC,HVAC-Drain Pan (secondary) - Clean or Replace,Clean minor rust stains from secondary drain pan and apply a protective coating to prevent further rusting.,0,0,Y
HVAC,HVAC-Drain Pan (secondary) - Clean or Replace,Replace rusted secondary drain pan ( major rust / leaking ).,0,0,Y
Interior,Install New (Color Scheme B - Grey Tones),Replace tile floor with new color scheme b grey tones  sqft,0,0,Y
Landscape,Landscape - Ground Surface - Grading (minor adjustments),"Adjust grading to slope away from the structure and expose 4-6"" of the stem wall (price per linear foot).",0,0,Y
Landscape,Landscape - Ground Surface - Install Decomposed Granite,"Install new Decomposed Granite 3/4"" minus to called out locations 2"" thick with weed barrier installed. Color to be Apache Gold 108sqft equals 1 ton at 2"" thick pricing per ton.",0,0,Y
Landscape,Landscape - Plants - Install New,Install drought tolerant foliage as called out.,0,0,Y
Landscape,"Landscape - Trees - Removal (Large: 16"" 25"" Diameter)","Removal of large size tree to include cutting down and grinding stump to below dirt 10"", cover with new soil to level condition.",0,0,Y
Landscape,Landscape - Trees - Remove Stump,"Removal of stump to include cutting down 10"" below ground level and treating with non-growing chemicals and replace dirt to level area.",0,0,Y
Landscape,Landscape - Trees - Trimming (up to 20),Trim Trees  and remove all items from site and rake out yard.,0,0,Y
Landscape,"Landscape - Trees Removal (Medium 9"" - 15"" Diameter)","Removal of medium size tree to include cutting down and grinding stump to below dirt 10"", cover with new soil to level condition.",0,0,Y
Landscape,Landscape - Trees Trimming (up to 10'),"Removal of large size tree to include cutting down and grinding stump to below dirt 10"", cover with new soil to level condition.",0,0,Y
Landscape,Landscape - Trees Trimming (up to 30),Trim Palms to tight frown and remove all items from site and rake out yard.,0,0,Y
HVAC,Life Expectancy Allowance,"Non-awarded allowance to account for known maintenance, concessions and warranty purchase potential tied to age of preserved unit during property holding.",0,0,Y
Interior,Locks - Replace Front Door Handleset,replace handle set front front door each,0,0,Y
Exterior,Locks - Replace Front Door Handleset,replace handle set front front door each.,0,0,Y
Exterior,Paint - Exterior - Touch-up,Repair or replace deteriorated support column. Paint or finish as needed.,0,1,Y
Exterior,Paint - Exterior - Touch-up,Touch-up exterior to match color scheme.,0,0,Y
Interior,Paint - Interior Baseboards & Doors,"Paint baseboards and doors only (paint grade) - Walls are in good shape and only needing to paint the base, trim and doors to Zillow approved colors",0,0,Y
Interior,Paint - Interior Baseboards & Doors,"Paint baseboards and doors only (stain Grade) - Walls are in good shape and only needing to paint the base, trim and doors to Zillow approved colors. Doors and base may need to be sanded and prepped to cover stain or other finishes",0,0,Y
Bedroom,Paint - Interior Wall Corner to Corner Full Paint,"Paint Wall Corner to Corner, includes minor drywall touch ups as to not show through painted finished wall.",0,0,Y
Kitchen,Paint - Interior Wall Corner to Corner Full Paint,"Paint Wall Corner to Corner, includes minor drywall touch ups as to not show through painted finished wall.",0,0,Y
Exterior,Paint- Exterior - Additional Prep of Exterior Surface,"Light - Paint and repair patches that are needed for siding, stucco cleaning and prep (power washing or sand blasting) for exterior paint to be applied.",0,0,Y
Exterior,Paint Exterior Corner-to-Corner,"Single Level - Paint one side of house corner-to-corner. Includes prep and painting of trim, doors and body. Price per side. Colors to be approved by Zillow.",0,0,Y
Exterior,Paint Exterior Corner-to-Corner,"Two Level - Paint one side of house corner-to-corner. Includes prep and painting of trim, doors and body. Price per side. Colors to be approved by Zillow.",0,0,Y
Exterior,Paint Exterior Full Exterior (prep & paint),"Get Approved colors from ZG - Paint exterior of house (trim, doors and body) - includes prep (pressure washing, scraping, caulking)",0,0,Y
Exterior,Paint Exterior Scrape & Patch Loose Paint,scrape/power wash and patch loose paint $5 LNFT,0,0,Y
Exterior,Paint Exterior Trim Only,"Paint Exterior Trim Only, Scrape and clean, touch up as needed and paint to existing colors",0,0,Y
Exterior,Paint Front Door - Prep & Paint,"Paint Front door to make like new condition. fill in chips, dents etc. and paint to match existing color",0,0,Y
Bedroom,Paint Interior Crown Molding,"Paint crown molding, patch any damaged areas, uneven transitions and nail holes (per room).",0,0,Y
Kitchen,Paint Interior Crown Molding,"Paint crown molding, patch any damaged areas, uneven transitions and nail holes (per room).",0,0,Y
Interior,Paint Interior Full Interior Paint (Scheme A),"Paint interior of house to ZG color scheme A to include ceilings and garage in  flat # 75 Polar Bear Matte, Walls eggshell PPU7-09 Aged Beige, Doors, trim and base # 75 Polar Bear semi gloss",0,0,Y
Interior,Paint Interior Full Interior Paint (Scheme A),"Stain Grade Base & Doors - Paint interior of house to ZG color scheme A to include ceilings and garage in  flat #75 Polar Bear Matte, Walls eggshell PPU7-09 Aged Beige, Doors, trim and base #75 Polar Bear semi gloss. Additional sanding and prep included for stained doors and baseboards.",0,0,Y
Interior,Paint Interior Full Interior Paint (Scheme B),"Paint interior of house to ZG color scheme B to include ceilings and garage in flat # 75 Polar Bear Matte, Walls eggshell N320-1 Campfire Ash, Doors, trim and base # 75 Polar Bear semi gloss",0,0,Y
Interior,Paint Interior Full Interior Paint (Scheme B),"Stain Grade Base & Doors - Paint interior of house to ZG color scheme B to include ceilings and garage in flat #75 Polar Bear Matte, Walls eggshell N320-1 Campfire Ash, Doors, trim and base #75 Polar Bear semi gloss. Additional sanding and prep included for stained doors and baseboards.",0,0,Y
Bedroom,Paint Interior Full Room Paint & Drywall (RBR),Full paint and drywall touch ups corner to corner including ceiling.  paint to main house colors,0,0,Y
Kitchen,Paint Interior Full Room Paint & Drywall (RBR),Full paint and drywall touch ups corner to corner including ceiling.  paint to main house colors,0,0,Y
Bedroom,Paint Interior High Ceilings - Clear Story,Additional funds for high ceilings (clear story) 16 ft or greater,0,0,Y
Kitchen,Paint Interior High Ceilings - Clear Story,Additional funds for high ceilings (clear story) 16 ft or greater,0,0,Y
Bedroom,Paint Interior Touch-up Minor Scuffs and Dents,"Paint Wall Corner to Corner, includes minor drywall touch ups as to not show through painted finished wall.",0,0,Y
Kitchen,Paint Interior Touch-up Minor Scuffs and Dents,"Paint Wall Corner to Corner, includes minor drywall touch ups as to not show through painted finished wall.",0,0,Y
Bedroom,Paint Interior Wainscoting,Paint wainscoting. Includes additional prep and costs associated with painting wainscoting a contrasting color. Priced per room.,0,0,Y
Kitchen,Paint Interior Wainscoting,Paint wainscoting. Includes additional prep and costs associated with painting wainscoting a contrasting color. Priced per room.,0,0,Y
Bedroom,Paint Wall Touch up paint,Paint touch ups of spots with matching paint color of wall. walls may flash and that is ok with this level of service,0,0,Y
Kitchen,Paint Wall Touch up paint,Paint touch ups of spots with matching paint color of wall. walls may flash and that is ok with this level of service,0,0,Y
Bedroom,Paint Whole House Clean Scuffs & Marks (no paint),Room by Room cleaning of scuff marks and hand prints with magic eraser and cleaner to get walls back to clean look.,0,0,Y
Kitchen,Paint Whole House Clean Scuffs & Marks (no paint),Room by Room cleaning of scuff marks and hand prints with magic eraser and cleaner to get walls back to clean look.,0,0,Y
Bedroom,Plumbing - Cleanout Cap - Replace,Replace damaged/missing clean out cap,0,0,Y
Kitchen,Plumbing - Cleanout Cap - Replace,Replace damaged/missing clean out cap,0,0,Y
Plumbing,Plumbing - Cleanout Cap - Replace,Replace damaged/missing clean out cap.,0,0,Y
Plumbing,Plumbing - Gas Line - Cap Supply Line,Cap gas supply line.,0,0,Y
Plumbing,Plumbing - Poly B - Line Replacement,"Replace poly b piping with proper pex or copper piping as accessible. will require permit, patch back drywall and holes needed to convert to new plumbing pipes.",0,0,Y
Plumbing,Plumbing - Poly B - Replacement,"Replace poly b piping with proper pex or copper piping as accessible. will require permit, patch back drywall and holes needed to convert to new plumbing pipes.",0,0,Y
Bathroom / Kitchen,Plumbing - Sinks / Tub - Repair Surface Chips,Buff and clean counter top.,0,1,Y
Bathroom / Kitchen,Plumbing - Sinks / Tub - Repair Surface Chips,Plumbing - Repair Chips at sink and tubs.,0,1,Y
Plumbing,Plumbing - Sump Pump - Install High Water Alarm,Install high water alarm.,0,0,Y
Plumbing,Plumbing - Water Heater - Install Sediment Trap,Install sediment trap inline with water heater per new code.,0,0,Y
Plumbing,Plumbing - Water Heater - Replace Supply Line & Valve (Leaking),,0,0,Y
Plumbing,Plumbing - Water Heater - Replace Water Heater Pan & Drain Line,Replace damaged or missing water heater pan. make sure connect drain line to not leak in to house.,0,0,Y
Plumbing,Plumbing - Water Heater Gas Flue Add/ Replace Gas Flue Collar,"Water Heater Gas Flue pipe needs to have colar on top at ceiling. flue pipe needs to maintain 1"" gap on all side of flue.",0,0,Y
Plumbing,Plumbing - Water Heater Install Expansion Tank,Install new water heater expansion tank.,0,0,Y
Plumbing,Plumbing - Water Heater Install T&P Line,Plumbing - Install new TP line at water heater.,0,0,Y
Plumbing,Plumbing - Water Heater Replace Water Heater (Electric),,0,0,Y
Plumbing,Plumbing - Water Heater Replace Water Heater (Gas),,0,0,Y
Plumbing,Plumbing - Water Lines - Replace Water Main Shutoff Valve,Replace main shut off with 1/4 turn ball valve.,0,0,Y
Plumbing,Plumbing - Water Lines Install Pressure Vacuum Breaker / Backflow,Install or replace pressure vacuum breaker.,0,0,Y
Exterior / Plumbing,Plumbing - Water Lines - Replace Hose Bibb,Install insulated hose bibb covers as needed to prevent freezing. ,5,1,Y
Exterior / Plumbing,Plumbing - Water Lines - Replace Hose Bibb,Secure loose hose bibb and seal as needed. ,30,1,Y
Exterior / Plumbing,Plumbing - Water Lines - Replace Hose Bibb,Replace bad hose bibb with new one.,0,1,Y
Exterior / Plumbing,Plumbing - Water Lines - Replace Hose Bibb,Install missing handle at hose bibb.,0,1,Y
Kitchen / Bathroom,Plumbing - Water Lines - Replace Angle Stops,Replace sink sprayer.,0,1,Y
Exterior,Plumbing - Water Lines - Replace Water Main Shutoff Valve,Replace main shut off with 1/4 turn ball valve.,0,1,Y
Plumbing / Exterior,Plumbing - Water Lines - Replace/ Add PRV at Main Line,Replace / Add pressure reducing valve at main line.,0,1,Y
Exterior,Plumbing Cleanout Cap - Replace,Replace damaged/missing clean out cap,0,0,Y
Exterior,Plumbing- Gas Line - Cap Supply Line,Cap gas supply line,0,0,Y
Plumbing,Plumbing Water Heater Drain and Reinstall,Drain and disconnect water heater to have work done in that area. re-connect and fill tank and check for leaks and operational.,0,0,Y
Exterior,Plumbing- Water Lines - Install Vacuum Breaker (irrigation),Install vacuum breaker at water hose bib,0,0,Y
Fencing,Repair Block/Concrete (minor),Concrete repairs on block fence $40per lnft  minor repairs.,0,0,Y
Bedroom,Replace - Electrical- Outlet/ Switch,Replace switch/outlet with similar color and style (Deco/Toggle),0,0,Y
Kitchen,Replace - Electrical- Outlet/ Switch,Replace switch/outlet with similar color and style (Deco/Toggle),0,0,Y
Roof,Roof Flashing - Repair,Roofing repair flashing issues.,0,0,Y
Gutters,Roof Gutters - Install Elbow,Install gutter downspout elbow.,0,0,Y
Gutters,Roof Gutters Add / Replace Splash Block,Install new splash block under gutter downspout.,0,0,Y
Gutters,Roof Gutters Clean Out,Clean out gutters and make sure down spouts and splash pads are clear of debris as well.,0,0,Y
Gutters,Roof Gutters Repair / Replace Sections,Replace damaged or missing gutter with new.,0,0,Y
Exterior,Siding Gable Vent,Siding - Replace Gable Vent.,0,0,Y
Exterior,Siding General Pressure Wash,Thorough and professional cleaning of exterior siding (1story),0,0,Y
Exterior,Siding General Repair Holes & Cracks,Patch holes in siding with Rock Hard patch. Sand and paint,0,0,Y
Exterior,Siding Panel - Replace Panel Siding Walls,Replace siding that is damaged with new like matching siding,0,0,Y
Exterior,"Siding Panel - Replace Water Damaged End (8"" up)","Replace up to 12"" up from bottom damaged siding with like materials",0,0,Y
Exterior,Siding Stone/ Brick Install Stone Veneer,Replace individual stone / brick veneer siding pieces.,0,0,Y
Exterior,Siding Stucco Repair Damage & Touch Up Paint,Repair large holes and touch up paint,0,0,Y
Exterior,Siding Trim,"Trim - Replace 2 x 10 garage wrap - includes demo of existing, installation of new 2 x 10 and vinyl garage door trim, and paint  (per Door).",0,0,Y
Exterior,Siding Trim - Replace Exterior Trim,"Replace exterior door, window and / or siding trim. To include demo, install, materials, caulk and paint to match.",0,0,Y
Exterior,Siding -Vinyl/ Metal- Replace Vinyl Siding,Individual Pieces - Replace damaged siding with new vinyl siding to match existing as close as possible.,0,0,Y
Exterior,Siding -Vinyl/ Metal- Replace Vinyl Siding,Projects Under 100 sqft - Replace damaged siding with new vinyl siding to match existing as close as possible (price per sqft).,0,0,Y
Exterior,Siding Wood/ Hardie - Replace Wood /Hardie Siding,Individual Pieces - Replace damaged siding with new wood / Hardie siding to match existing as close as possible.,0,0,Y
Exterior,Siding Wood/ Hardie - Replace Wood /Hardie Siding,Projects Over 100 sqft -  Replace damaged siding with new wood / Hardie siding to match existing as close as possible (price per sqft).,0,0,Y
Exterior,Siding Wood/ Hardie - Replace Wood /Hardie Siding,Projects Under 100 sqft -  Replace damaged siding with new wood / Hardie siding to match existing as close as possible (price per sqft).,0,0,Y
Exterior,Stairs Handrail Repair,Repair stair handrail that is coming off. add new wall anchors and re-connect bracket to insure safe usage.,0,0,Y
Kitchen,Trim - Baseboard - Replace,Install Pre-Primed Base Molding to Match Existing Molding. per lnft.,0,0,Y
Exterior,Trim - Bird Boards - Replace,Replace bird board with new and caulk in and paint to match,0,0,Y
Roof,Trim - Fascia Replace,Replace fascia board with new and caulk and paint to match.,0,0,Y
Exterior,Trim - Fascia Replace Clips & Caulk Joints,Replace fascia clips and caulk tight and paint to match,0,0,Y
Bedroom,Trim Baseboard Replace,Install Pre-Primed Base Molding to Match Existing Molding. per lnft.,0,0,Y
Roof,Trim Bird Boards - Replace,Replace bird board with new and caulk in and paint to match.,0,0,Y
